No,Nama Produk,Brand,Jenis Kulit,Masalah Kulit,Kandungan Utama,Alcohol-Free,Fragrance-Free,Non-Comedogenic,Oil Control,Hydrating,Brightening,Anti Acne,Soothing,Anti Aging,Cocok,Image
76,Bright Stuff Face Serum,Emina,Kulit Berminyak,"Kusam, Noda hitam","Ekstrak Summer Plum, Concentrated Niacinamide",1,1,1,1,1,1,0,0,0,YES,C:\project\static\Images\Serum\Emina Bright Stuff Face Serum.png
77,Bright Stuff Face Serum,Emina,Kulit Berjerawat,"Kusam, Noda hitam","Ekstrak Summer Plum, Concentrated Niacinamide",1,1,1,1,1,1,0,0,0,NO,C:\project\static\Images\Serum\Emina Bright Stuff Face Serum.png
78,Bright Stuff Face Serum,Emina,Kulit Sensitif,"Kusam, Noda hitam","Ekstrak Summer Plum, Concentrated Niacinamide",1,1,1,1,1,1,0,0,0,YES,C:\project\static\Images\Serum\Emina Bright Stuff Face Serum.png
79,Natura Pal Splash Serum,Emina,Kulit Normal,"Kusam, Skin barrier rusak","100% Natural Pea Extract, Triple Protection+, Niacinamide, Sodium Hyaluronate",1,0,1,1,1,1,0,1,0,YES,C:\project\static\Images\Serum\Emina Natura Pal Splash Serum.png
80,Natura Pal Splash Serum,Emina,Kulit Kering,"Kusam, Skin barrier rusak","100% Natural Pea Extract, Triple Protection+, Niacinamide, Sodium Hyaluronate",1,0,1,1,1,1,0,1,0,YES,C:\project\static\Images\Serum\Emina Natura Pal Splash Serum.png
81,Natura Pal Splash Serum,Emina,Kulit Kombinasi,"Kusam, Skin barrier rusak","100% Natural Pea Extract, Triple Protection+, Niacinamide, Sodium Hyaluronate",1,0,1,1,1,1,0,1,0,YES,C:\project\static\Images\Serum\Emina Natura Pal Splash Serum.png
82,Natura Pal Splash Serum,Emina,Kulit Berminyak,"Kusam, Skin barrier rusak","100% Natural Pea Extract, Triple Protection+, Niacinamide, Sodium Hyaluronate",1,0,1,1,1,1,0,1,0,YES,C:\project\static\Images\Serum\Emina Natura Pal Splash Serum.png
83,Natura Pal Splash Serum,Emina,Kulit Berjerawat,"Kusam, Skin barrier rusak","100% Natural Pea Extract, Triple Protection+, Niacinamide, Sodium Hyaluronate",1,0,1,1,1,1,0,1,0,NO,C:\project\static\Images\Serum\Emina Natura Pal Splash Serum.png
84,Natura Pal Splash Serum,Emina,Kulit Sensitif,"Kusam, Skin barrier rusak","100% Natural Pea Extract, Triple Protection+, Niacinamide, Sodium Hyaluronate",1,0,1,1,1,1,0,1,0,NO,C:\project\static\Images\Serum\Emina Natura Pal Splash Serum.png
85,YSB Serum Tea Tree + Witch Hazel + Glycolic Acid + Rosemary,Avoskin,Kulit Normal,"Jerawat aktif, Minyak berlebih, Kemerahan/Inflamasi, Kusam","Tea Tree, Witch Hazel, Glycolic Acid, Rosemary Extract",1,1,1,1,1,1,1,1,0,YES,C:\project\static\Images\Serum\Avoskin YSB Serum Tea Tree + Witch Hazel + Glycolic Acid + Rosemary.png
86,YSB Serum Tea Tree + Witch Hazel + Glycolic Acid + Rosemary,Avoskin,Kulit Kering,"Jerawat aktif, Minyak berlebih, Kemerahan/Inflamasi, Kusam","Tea Tree, Witch Hazel, Glycolic Acid, Rosemary Extract",1,1,1,1,1,1,1,1,0,YES,C:\project\static\Images\Serum\Avoskin YSB Serum Tea Tree + Witch Hazel + Glycolic Acid + Rosemary.png
