No,Nama Produk,Brand,Jenis Kulit,Masalah Kulit,Kandungan Utama,Alcohol-Free,Fragrance-Free,Non-Comedogenic,Oil Control,Hydrating,Brightening,Anti Acne,Soothing,Anti Aging,Cocok,Image
72,Bright Stuff Prebiotic Tranexamic Acid Brightening Facial Cleanser,Emina,Kulit Berjerawat,"Kusam, Jerawat, Beruntusan, Pori-pori tersumbat, Kulit dehidrasi atau kering","Prebiotic, Tranexamic Acid, Aquaxyl, Smart Micro-foam Complex",1,0,1,1,1,1,1,1,0,YES,C:\project\static\Images\Facial Wash\Emina Bright Stuff Prebiotic Tranexamic Acid Brightening Facial Cleanser.png
73,Bright Stuff Whip Face Wash,Emina,Kulit Normal,"Kusam, Warna kulit tidak rata","Summer Plum, Niacinamide, Licorice",1,0,1,0,1,1,0,0,0,YES,C:\project\static\Images\Facial Wash\Emina Bright Stuff Whip Face Wash.png
74,Bright Stuff Whip Face Wash,Emina,Kulit Kering,"Kusam, Warna kulit tidak rata","Summer Plum, Niacinamide, Licorice",1,0,1,0,1,1,0,0,0,YES,C:\project\static\Images\Facial Wash\Emina Bright Stuff Whip Face Wash.png
75,Bright Stuff Whip Face Wash,Emina,Kulit Sensitif,"Kusam, Warna kulit tidak rata","Summer Plum, Niacinamide, Licorice",1,0,1,0,1,1,0,0,0,NO,C:\project\static\Images\Facial Wash\Emina Bright Stuff Whip Face Wash.png
76,Bright Stuff Whip Face Wash,Emina,Kulit Kombinasi,"Kusam, Warna kulit tidak rata","Summer Plum, Niacinamide, Licorice",1,0,1,0,1,1,0,0,0,YES,C:\project\static\Images\Facial Wash\Emina Bright Stuff Whip Face Wash.png
77,Bright Stuff Whip Face Wash,Emina,Kulit Berminyak,"Kusam, Warna kulit tidak rata","Summer Plum, Niacinamide, Licorice",1,0,1,0,1,1,0,0,0,NO,C:\project\static\Images\Facial Wash\Emina Bright Stuff Whip Face Wash.png
78,Bright Stuff Whip Face Wash,Emina,Kulit Berjerawat,"Kusam, Warna kulit tidak rata","Summer Plum, Niacinamide, Licorice",1,0,1,0,1,1,0,0,0,NO,C:\project\static\Images\Facial Wash\Emina Bright Stuff Whip Face Wash.png
79,Bright Stuff Face Scrub,Emina,Kulit Normal,Kusam,"Summer Plum, Niacinamide, Hydrated Silica",1,0,1,0,1,1,0,0,0,YES,C:\project\static\Images\Facial Wash\Emina Bright Stuff Face Scrub.png
80,Bright Stuff Face Scrub,Emina,Kulit Kering,Kusam,"Summer Plum, Niacinamide, Hydrated Silica",1,0,1,0,1,1,0,0,0,YES,C:\project\static\Images\Facial Wash\Emina Bright Stuff Face Scrub.png
81,Bright Stuff Face Scrub,Emina,Kulit Sensitif,Kusam,"Summer Plum, Niacinamide, Hydrated Silica",1,0,1,0,1,1,0,0,0,NO,C:\project\static\Images\Facial Wash\Emina Bright Stuff Face Scrub.png
