No,Nama Produk,Brand,Jenis Kulit,Masalah Kulit,Kandungan Utama,Alcohol-Free,Fragrance-Free,Non-Comedogenic,Oil Control,Hydrating,Brightening,Anti Acne,Soothing,Anti Aging,UV Protection,Cocok,Image
51,Crystal Secret Bright-Peptide™ 5% Niacinamide Hyperpigmentation Expert Night Moisturizer,Wardah,Kulit Berminyak,"Kusam, Hiperpigmentasi, Bekas jerawat","5% Niacinamide, Alpha Arbutin, Brightening Peptide, Ekstrak Edelweiss",1,0,1,1,1,1,0,1,0,NO,YES,C:\project\static\Images\Moisturizer\Wardah Crystal Secret Bright-Peptide™ 5% Niacinamide Hyperpigmentation Expert Night Moisturizer.png
52,Crystal Secret Bright-Peptide™ 5% Niacinamide Hyperpigmentation Expert Night Moisturizer,Wardah,Kulit Kombinasi,"Kusam, Hiperpigmentasi, Bekas jerawat","5% Niacinamide, Alpha Arbutin, Brightening Peptide, Ekstrak Edelweiss",1,0,1,1,1,1,0,1,0,NO,YES,C:\project\static\Images\Moisturizer\Wardah Crystal Secret Bright-Peptide™ 5% Niacinamide Hyperpigmentation Expert Night Moisturizer.png
53,Crystal Secret Bright-Peptide™ 5% Niacinamide Hyperpigmentation Expert Night Moisturizer,Wardah,Kulit Sensitif,"Kusam, Hiperpigmentasi, Bekas jerawat","5% Niacinamide, Alpha Arbutin, Brightening Peptide, Ekstrak Edelweiss",1,0,1,1,1,1,0,1,0,NO,NO,C:\project\static\Images\Moisturizer\Wardah Crystal Secret Bright-Peptide™ 5% Niacinamide Hyperpigmentation Expert Night Moisturizer.png
54,Crystal Secret Bright-Peptide™ 5% Niacinamide Hyperpigmentation Expert Night Moisturizer,Wardah,Kulit Berjerawat,"Kusam, Hiperpigmentasi, Bekas jerawat","5% Niacinamide, Alpha Arbutin, Brightening Peptide, Ekstrak Edelweiss",1,0,1,1,1,1,0,1,0,NO,NO,C:\project\static\Images\Moisturizer\Wardah Crystal Secret Bright-Peptide™ 5% Niacinamide Hyperpigmentation Expert Night Moisturizer.png
55,Lightening Day Cream Advanced Niacinamide,Wardah,Kulit Normal,"Kusam, Warna kulit tidak merata","Advanced Niacinamide, Licorice, AHA, Allantoin, SPF 30 PA+++",1,0,1,1,1,1,0,1,0,YES,YES,C:\project\static\Images\Moisturizer\Wardah Lightening Day Cream Advanced Niacinamide.png
56,Lightening Day Cream Advanced Niacinamide,Wardah,Kulit Kering,"Kusam, Warna kulit tidak merata","Advanced Niacinamide, Licorice, AHA, Allantoin, SPF 30 PA+++",1,0,1,1,1,1,0,1,0,YES,YES,C:\project\static\Images\Moisturizer\Wardah Lightening Day Cream Advanced Niacinamide.png
57,Lightening Day Cream Advanced Niacinamide,Wardah,Kulit Berminyak,"Kusam, Warna kulit tidak merata","Advanced Niacinamide, Licorice, AHA, Allantoin, SPF 30 PA+++",1,0,1,1,1,1,0,1,0,YES,YES,C:\project\static\Images\Moisturizer\Wardah Lightening Day Cream Advanced Niacinamide.png
58,Lightening Day Cream Advanced Niacinamide,Wardah,Kulit Kombinasi,"Kusam, Warna kulit tidak merata","Advanced Niacinamide, Licorice, AHA, Allantoin, SPF 30 PA+++",1,0,1,1,1,1,0,1,0,YES,YES,C:\project\static\Images\Moisturizer\Wardah Lightening Day Cream Advanced Niacinamide.png
59,Lightening Day Cream Advanced Niacinamide,Wardah,Kulit Sensitif,"Kusam, Warna kulit tidak merata","Advanced Niacinamide, Licorice, AHA, Allantoin, SPF 30 PA+++",1,0,1,1,1,1,0,1,0,YES,NO,C:\project\static\Images\Moisturizer\Wardah Lightening Day Cream Advanced Niacinamide.png
60,Lightening Day Cream Advanced Niacinamide,Wardah,Kulit Berjerawat,"Kusam, Warna kulit tidak merata","Advanced Niacinamide, Licorice, AHA, Allantoin, SPF 30 PA+++",1,0,1,1,1,1,0,1,0,YES,NO,C:\project\static\Images\Moisturizer\Wardah Lightening Day Cream Advanced Niacinamide.png
61,Crystal Secret α-Arbutin 5% Niacinamide Hyperpigmentation Expert SPF 35 PA+++ Day Moisturizer,Wardah,Kulit Normal,"Kusam, Hiperpigmentasi, Bekas jerawat","α-Arbutin, Niacinamide 5%, Edelweiss Extract, SPF 35 PA+++",1,0,1,1,1,1,0,1,0,YES,YES,C:\project\static\Images\Moisturizer\Wardah Crystal Secret α-Arbutin 5% Niacinamide Hyperpigmentation Expert SPF 35 PA+++ Day Moisturizer.png
62,Crystal Secret α-Arbutin 5% Niacinamide Hyperpigmentation Expert SPF 35 PA+++ Day Moisturizer,Wardah,Kulit Kering,"Kusam, Hiperpigmentasi, Bekas jerawat","α-Arbutin, Niacinamide 5%, Edelweiss Extract, SPF 35 PA+++",1,0,1,1,1,1,0,1,0,YES,YES,C:\project\static\Images\Moisturizer\Wardah Crystal Secret α-Arbutin 5% Niacinamide Hyperpigmentation Expert SPF 35 PA+++ Day Moisturizer.png
63,Crystal Secret α-Arbutin 5% Niacinamide Hyperpigmentation Expert SPF 35 PA+++ Day Moisturizer,Wardah,Kulit Berminyak,"Kusam, Hiperpigmentasi, Bekas jerawat","α-Arbutin, Niacinamide 5%, Edelweiss Extract, SPF 35 PA+++",1,0,1,1,1,1,0,1,0,YES,YES,C:\project\static\Images\Moisturizer\Wardah Crystal Secret α-Arbutin 5% Niacinamide Hyperpigmentation Expert SPF 35 PA+++ Day Moisturizer.png
64,Crystal Secret α-Arbutin 5% Niacinamide Hyperpigmentation Expert SPF 35 PA+++ Day Moisturizer,Wardah,Kulit Kombinasi,"Kusam, Hiperpigmentasi, Bekas jerawat","α-Arbutin, Niacinamide 5%, Edelweiss Extract, SPF 35 PA+++",1,0,1,1,1,1,0,1,0,YES,YES,C:\project\static\Images\Moisturizer\Wardah Crystal Secret α-Arbutin 5% Niacinamide Hyperpigmentation Expert SPF 35 PA+++ Day Moisturizer.png
65,Crystal Secret α-Arbutin 5% Niacinamide Hyperpigmentation Expert SPF 35 PA+++ Day Moisturizer,Wardah,Kulit Sensitif,"Kusam, Hiperpigmentasi, Bekas jerawat","α-Arbutin, Niacinamide 5%, Edelweiss Extract, SPF 35 PA+++",1,0,1,1,1,1,0,1,0,YES,NO,C:\project\static\Images\Moisturizer\Wardah Crystal Secret α-Arbutin 5% Niacinamide Hyperpigmentation Expert SPF 35 PA+++ Day Moisturizer.png
66,Crystal Secret α-Arbutin 5% Niacinamide Hyperpigmentation Expert SPF 35 PA+++ Day Moisturizer,Wardah,Kulit Berjerawat,"Kusam, Hiperpigmentasi, Bekas jerawat","α-Arbutin, Niacinamide 5%, Edelweiss Extract, SPF 35 PA+++",1,0,1,1,1,1,0,1,0,YES,NO,C:\project\static\Images\Moisturizer\Wardah Crystal Secret α-Arbutin 5% Niacinamide Hyperpigmentation Expert SPF 35 PA+++ Day Moisturizer.png
67,Tranexamic α-Arbutin + 5% Niacinamide Dark Spot Corrector Gel Moisturizer,Wardah,Kulit Normal,"Noda hitam, Hiperpigmentasi, Kusam","Tranexamic Derivate, α-Arbutin, Niacinamide 5%, Silver Vine 2%",1,0,1,0,1,1,0,1,0,NO,YES,C:\project\static\Images\Moisturizer\Wardah Tranexamic α- Arbutin + 5% Niacinamide Dark Spot Corrector Gel Moisturizer.png
68,Tranexamic α-Arbutin + 5% Niacinamide Dark Spot Corrector Gel Moisturizer,Wardah,Kulit Kering,"Noda hitam, Hiperpigmentasi, Kusam","Tranexamic Derivate, α-Arbutin, Niacinamide 5%, Silver Vine 2%",1,0,1,0,1,1,0,1,0,NO,YES,C:\project\static\Images\Moisturizer\Wardah Tranexamic α- Arbutin + 5% Niacinamide Dark Spot Corrector Gel Moisturizer.png
69,Tranexamic α-Arbutin + 5% Niacinamide Dark Spot Corrector Gel Moisturizer,Wardah,Kulit Berminyak,"Noda hitam, Hiperpigmentasi, Kusam","Tranexamic Derivate, α-Arbutin, Niacinamide 5%, Silver Vine 2%",1,0,1,0,1,1,0,1,0,NO,NO,C:\project\static\Images\Moisturizer\Wardah Tranexamic α- Arbutin + 5% Niacinamide Dark Spot Corrector Gel Moisturizer.png
70,Tranexamic α-Arbutin + 5% Niacinamide Dark Spot Corrector Gel Moisturizer,Wardah,Kulit Kombinasi,"Noda hitam, Hiperpigmentasi, Kusam","Tranexamic Derivate, α-Arbutin, Niacinamide 5%, Silver Vine 2%",1,0,1,0,1,1,0,1,0,NO,YES,C:\project\static\Images\Moisturizer\Wardah Tranexamic α- Arbutin + 5% Niacinamide Dark Spot Corrector Gel Moisturizer.png
71,Tranexamic α-Arbutin + 5% Niacinamide Dark Spot Corrector Gel Moisturizer,Wardah,Kulit Sensitif,"Noda hitam, Hiperpigmentasi, Kusam","Tranexamic Derivate, α-Arbutin, Niacinamide 5%, Silver Vine 2%",1,0,1,0,1,1,0,1,0,NO,NO,C:\project\static\Images\Moisturizer\Wardah Tranexamic α- Arbutin + 5% Niacinamide Dark Spot Corrector Gel Moisturizer.png
72,Tranexamic α-Arbutin + 5% Niacinamide Dark Spot Corrector Gel Moisturizer,Wardah,Kulit Berjerawat,"Noda hitam, Hiperpigmentasi, Kusam","Tranexamic Derivate, α-Arbutin, Niacinamide 5%, Silver Vine 2%",1,0,1,0,1,1,0,1,0,NO,NO,C:\project\static\Images\Moisturizer\Wardah Tranexamic α- Arbutin + 5% Niacinamide Dark Spot Corrector Gel Moisturizer.png
73,Perfect Bright Bright + Night Glow Night Moisturizer,Wardah,Kulit Normal,"Kusam, Bekas jerawat","4x Berries Bright, Gentle PHA",1,0,1,0,1,1,0,1,0,NO,YES,C:\project\static\Images\Moisturizer\Wardah Perfect Bright Bright + Night Glow Night Moisturizer.png
74,Perfect Bright Bright + Night Glow Night Moisturizer,Wardah,Kulit Kering,"Kusam, Bekas jerawat","4x Berries Bright, Gentle PHA",1,0,1,0,1,1,0,1,0,NO,YES,C:\project\static\Images\Moisturizer\Wardah Perfect Bright Bright + Night Glow Night Moisturizer.png
75,Perfect Bright Bright + Night Glow Night Moisturizer,Wardah,Kulit Berminyak,"Kusam, Bekas jerawat","4x Berries Bright, Gentle PHA",1,0,1,0,1,1,0,1,0,NO,NO,C:\project\static\Images\Moisturizer\Wardah Perfect Bright Bright + Night Glow Night Moisturizer.png
